score,grade,recommendation,id,name,developer,type,capacity_mw,state,poi,queue_position_score,study_progress_score,developer_score,poi_congestion_score,characteristics_score,red_flags,green_flags
63.5,C,CONDITIONAL,0644,Columbia County 1,"Hecate Energy Columbia County 1, LLC",S,60.0,NY,"Hecate Energy Columbia County 1, LLC",25.0,2.5,10.0,15.0,10.9,Early study phase - high uncertainty,Strong queue position; Low POI congestion
63.5,C,CONDITIONAL,0670,SunEast Skyline Solar LLC,SunEast Skyline Solar LLC,S,20.0,NY,SunEast Skyline Solar LLC,25.0,2.5,10.0,15.0,10.9,Early study phase - high uncertainty,Strong queue position; Low POI congestion
63.5,C,CONDITIONAL,0704,Bear Ridge Solar,"Bear Ridge Solar, LLC",S,100.0,NY,"Bear Ridge Solar, LLC",25.0,2.5,10.0,15.0,10.9,Early study phase - high uncertainty,Strong queue position; Low POI congestion
63.5,C,CONDITIONAL,0710,Horseshoe Solar,Horseshoe Solar Energy LLC,S,180.0,NY,Horseshoe Solar Energy LLC,25.0,2.5,10.0,15.0,10.9,Early study phase - high uncertainty,Strong queue position; Low POI congestion
63.5,C,CONDITIONAL,0716,Moraine Solar Energy Center,"Moraine Solar Energy Center, LLC",S,93.5,NY,"Moraine Solar Energy Center, LLC",25.0,2.5,10.0,15.0,10.9,Early study phase - high uncertainty,Strong queue position; Low POI congestion
63.5,C,CONDITIONAL,0720,Trelina Solar Energy Center,"Trelina Solar Energy Center, LLC",S,79.8,NY,"Trelina Solar Energy Center, LLC",25.0,2.5,10.0,15.0,10.9,Early study phase - high uncertainty,Strong queue position; Low POI congestion
63.5,C,CONDITIONAL,0721,Excelsior Energy Center,"Excelsior Energy Center, LLC",S,280.0,NY,"Excelsior Energy Center, LLC",25.0,2.5,10.0,15.0,10.9,Early study phase - high uncertainty,Strong queue position; Low POI congestion
63.5,C,CONDITIONAL,0734,Ticonderoga Solar,ELP Ticonderoga Solar LLC,S,20.0,NY,ELP Ticonderoga Solar LLC,25.0,2.5,10.0,15.0,10.9,Early study phase - high uncertainty,Strong queue position; Low POI congestion
63.5,C,CONDITIONAL,0774,Tracy Solar Energy Center,"Tracy Solar Energy Center, LLC",S,119.0,NY,"Tracy Solar Energy Center, LLC",25.0,2.5,10.0,15.0,10.9,Early study phase - high uncertainty,Strong queue position; Low POI congestion
63.5,C,CONDITIONAL,0777,White Creek Solar,"White Creek Solar, LLC",S,135.0,NY,"White Creek Solar, LLC",25.0,2.5,10.0,15.0,10.9,Early study phase - high uncertainty,Strong queue position; Low POI congestion
